image_id,file_name,outer_test_fold
251,E300SA22440034_00465_143_1flight_13800_2.jpg,4
478,EL300858804493_00184_039_1flight_3900_2.jpg,1
432,E300SA23130257_00295_209_1flight_10500_2.jpg,4
421,E300SA23130257_00295_209_1flight_2400_2.jpg,7
276,E300SA22440035_01510_843_1flight_2700_0.jpg,4
297,E300SA22440035_01533_862_1flight_3300_0.jpg,1
305,E300SA22440035_01533_862_1flight_8100_0.jpg,2
254,E300SA22440035_01502_839_1flight_1500_0.jpg,2
198,E300SA22440034_00452_136_1flight_1500_2.jpg,5
155,E300SA22440034_00447_133_1flight_9000_2.jpg,2
145,E300SA22440034_00447_133_1flight_2400_2.jpg,1
490,EL300858804493_00188_043_1flight_1800_0.jpg,1
315,E300SA23130257_00053_033_1flight_4500_0.jpg,7
322,E300SA23130257_00053_034_1flight_3000_0.jpg,7
417,E300SA23130257_00295_209_1flight_0_2.jpg,5
12,E300PREMP00002_00725_216_1flight_7500_2.jpg,7
259,E300SA22440035_01502_839_1flight_4500_0.jpg,7
158,E300SA22440034_00447_133_1flight_10500_2.jpg,1
280,E300SA22440035_01510_843_1flight_5100_0.jpg,6
243,E300SA22440034_00465_143_1flight_7800_2.jpg,1
178,E300SA22440034_00451_135_1flight_7200_2.jpg,3
420,E300SA23130257_00295_209_1flight_1800_2.jpg,3
443,E300SA23130257_00301_214_1flight_4800_0.jpg,7
330,E300SA23130257_00054_035_1flight_1800_0.jpg,6
302,E300SA22440035_01533_862_1flight_6300_0.jpg,2
107,E300PREMP00002_00727_218_1flight_3900_2.jpg,6
250,E300SA22440034_00465_143_1flight_13200_2.jpg,2
144,E300SA22440034_00447_133_1flight_1500_2.jpg,4
351,E300SA23130257_00057_043_1flight_11700_0.jpg,5
538,EL300858804493_00330_112_1flight_600_2.jpg,4
75,E300PREMP00002_00726_217_1flight_10200_2.jpg,2
157,E300SA22440034_00447_133_1flight_10200_2.jpg,3
389,E300SA23130257_00267_199_1flight_5100_2.jpg,1
487,EL300858804493_00188_043_1flight_0_0.jpg,3
239,E300SA22440034_00465_143_1flight_5100_2.jpg,1
252,E300SA22440035_01502_839_1flight_300_0.jpg,6
292,E300SA22440035_01533_862_1flight_300_0.jpg,5
62,E300PREMP00002_00726_217_1flight_1200_2.jpg,1
540,EL300858804493_00330_112_1flight_1800_2.jpg,1
114,E300PREMP00002_00727_218_1flight_9600_2.jpg,5
74,E300PREMP00002_00726_217_1flight_9600_2.jpg,7
117,E300PREMP00002_00727_218_1flight_11400_2.jpg,6
265,E300SA22440035_01502_839_1flight_8100_0.jpg,2
247,E300SA22440034_00465_143_1flight_10800_2.jpg,6
150,E300SA22440034_00447_133_1flight_5700_2.jpg,7
146,E300SA22440034_00447_133_1flight_3300_2.jpg,4
509,EL300858804493_00193_048_1flight_1500_0.jpg,2
